capacity_DC,SiteCity,SiteState,SiteZip_5_digit,FacilityType,dateinservice
2.76,Wayland,Massachusetts,01778,Residential (3 or fewer dwelling units per building),1/14/2004
2.64,Westwood,Massachusetts,02090,Religious,1/12/2004
4.8,Westwood,Massachusetts,02090,Religious,1/25/2004
2.76,Wayland,Massachusetts,01778,Residential (3 or fewer dwelling units per building),1/14/2004
1.8,Falmouth,Massachusetts,02540,Residential (3 or fewer dwelling units per building),4/20/2004
2.4,Newton,Massachusetts,02460,Residential (3 or fewer dwelling units per building),12/5/2003
3,Barnstable,Massachusetts,02647,Residential (3 or fewer dwelling units per building),8/12/2004
24,Williamstown,Massachusetts,01267,School (K-12),10/21/2003
1.32,Watertown,Massachusetts,02472,Residential (3 or fewer dwelling units per building),11/14/2003
2.76,Arlington,Massachusetts,02476,Residential (3 or fewer dwelling units per building),2/8/2004
2.76,Natick,Massachusetts,01760,Residential (3 or fewer dwelling units per building),2/10/2004
2.64,Westwood,Massachusetts,02090,Municipal / Government / Public,2/10/2004
2.4,Westwood,Massachusetts,02090,Commercial / Office,11/21/2003
2.4,Falmouth,Massachusetts,02540,Residential (3 or fewer dwelling units per building),5/20/2004
1.14,Oak Bluffs,Massachusetts,02557,Residential (3 or fewer dwelling units per building),11/18/2004
1.92,West Tisbury,Massachusetts,02575,Residential (3 or fewer dwelling units per building),7/25/2004
2.76,Bedford,Massachusetts,01730,Residential (3 or fewer dwelling units per building),4/7/2004
5.52,Lexington,Massachusetts,02421,Residential (3 or fewer dwelling units per building),2/11/2004
2.76,Lexington,Massachusetts,02420,Residential (3 or fewer dwelling units per building),2/24/2004
1.32,Cambridge,Massachusetts,02139,Residential (3 or fewer dwelling units per building),2/27/2004
5.28,Westwood,Massachusetts,02090,School (K-12),NULL
1.98,Weston,Massachusetts,02493,Residential (3 or fewer dwelling units per building),7/15/2004
2.16,Needham,Massachusetts,02492,Residential (3 or fewer dwelling units per building),3/30/2004
1.11,Weston,Massachusetts,02493,Residential (3 or fewer dwelling units per building),7/1/2004
3.3,Amherst,Massachusetts,01002,Residential (3 or fewer dwelling units per building),6/16/2004
2.64,Hadley,Massachusetts,01035,Residential (3 or fewer dwelling units per building),6/2/2004
3,Wellfleet,Massachusetts,02667,Residential (3 or fewer dwelling units per building),6/29/2004
3,Plymouth,Massachusetts,02360,Residential (3 or fewer dwelling units per building),6/2/2004
1.11,Leverett,Massachusetts,01054,Residential (3 or fewer dwelling units per building),12/17/2003
2.86,Plymouth,Massachusetts,02360,Residential (3 or fewer dwelling units per building),5/29/2004
5.67,Rochester,Massachusetts,02770,Residential (3 or fewer dwelling units per building),1/5/2004
7.014,Plymouth,Massachusetts,02360,Mixed use (commercial & residential),12/29/2004
2.4,Harwich,Massachusetts,02646,Residential (3 or fewer dwelling units per building),5/10/2004
1.404,Wendell,Massachusetts,01379,Residential (3 or fewer dwelling units per building),12/17/2003
1.476,Colrain,Massachusetts,01340,Residential (3 or fewer dwelling units per building),1/2/2004
2.52,Deerfield,Massachusetts,01342,Residential (3 or fewer dwelling units per building),4/9/2004
1.85,Shelburne,Massachusetts,01370,Residential (3 or fewer dwelling units per building),3/2/2004
9.6,Northbridge,Massachusetts,01588,Commercial / Office,12/29/2004
2.64,Montague,Massachusetts,01351,Residential (3 or fewer dwelling units per building),9/20/2004
10.8,Beverly,Massachusetts,01915,School (K-12),1/9/2004
34.96,Somerville,Massachusetts,02143,School (K-12),12/12/2003
34.2,Montague,Massachusetts,01376,School (K-12),3/2/2004
1.8,Falmouth,Massachusetts,02536,Residential (3 or fewer dwelling units per building),5/1/2004
2.42,Gill,Massachusetts,01376,Residential (3 or fewer dwelling units per building),5/27/2004
1.2,Greenfield,Massachusetts,01301,Residential (3 or fewer dwelling units per building),2/16/2004
2.4,Springfield,Massachusetts,01129,Residential (3 or fewer dwelling units per building),6/17/2004
1.2,New Marlborough,Massachusetts,01244,Residential (3 or fewer dwelling units per building),4/27/2005
1.26,Williamstown,Massachusetts,01246,Residential (3 or fewer dwelling units per building),12/17/2004
1.2,Williamstown,Massachusetts,01246,Residential (3 or fewer dwelling units per building),6/4/2004
2.76,Lunenburg,Massachusetts,01462,Residential (3 or fewer dwelling units per building),10/1/2005
1.84,Milton,Massachusetts,02186,Residential (3 or fewer dwelling units per building),2/24/2004
12,Burlington,Massachusetts,01803,Retail,3/1/2004
3.2,Brookline,Massachusetts,02215,Residential (3 or fewer dwelling units per building),12/18/2004
2.53,Watertown,Massachusetts,02472,Residential (3 or fewer dwelling units per building),1/20/2005
1.5,Deerfield,Massachusetts,01373,Residential (3 or fewer dwelling units per building),3/2/2004
2.52,Cambridge,Massachusetts,02139,College / University,4/1/2004
24.32,Cambridge,Massachusetts,02142,Commercial / Office,7/20/2003
1.2,Falmouth,Massachusetts,02536,Residential (3 or fewer dwelling units per building),5/28/2004
2.76,Charlton,Massachusetts,01508,Residential (3 or fewer dwelling units per building),10/15/2004
2.76,Mashpee,Massachusetts,02649,Residential (3 or fewer dwelling units per building),12/23/2004
2.76,Tyngsborough,Massachusetts,01879,Residential (3 or fewer dwelling units per building),10/1/2005
2.76,Tyngsborough,Massachusetts,01879,Residential (3 or fewer dwelling units per building),10/1/2005
2.76,Tyngsborough,Massachusetts,01879,Residential (3 or fewer dwelling units per building),10/31/2005
1.8,Whately,Massachusetts,01093,Residential (3 or fewer dwelling units per building),5/19/2004
2.4,Dennis,Massachusetts,02639,Residential (3 or fewer dwelling units per building),6/25/2004
30.3,Waltham,Massachusetts,02451,Commercial / Office,6/21/2004
2.035,Boston,Massachusetts,02119,School (K-12),9/15/2004
4.2,Framingham,Massachusetts,01701,Residential (3 or fewer dwelling units per building),12/23/2004
1.8,Northfield,Massachusetts,01360,Residential (3 or fewer dwelling units per building),7/15/2004
2.64,Medway,Massachusetts,02053,Residential (3 or fewer dwelling units per building),4/20/2005
3.08,North Andover,Massachusetts,01845,Residential (3 or fewer dwelling units per building),4/20/2004
1.2,Leverett,Massachusetts,01054,Residential (3 or fewer dwelling units per building),5/19/2004
26.95,Cambridge,Massachusetts,02139,Municipal / Government / Public,8/20/2004
2.4,Quincy,Massachusetts,02171,School (K-12),5/13/2004
1.2,Worcester,Massachusetts,01609,College / University,5/21/2004
3,Barnstable,Massachusetts,02630,Municipal / Government / Public,6/17/2004
3,Eastham,Massachusetts,02642,Residential (3 or fewer dwelling units per building),6/17/2004
2.52,New Braintree,Massachusetts,01531,Residential (3 or fewer dwelling units per building),6/16/2004
1.92,West Tisbury,Massachusetts,02575,Residential (3 or fewer dwelling units per building),5/5/2004
2.76,Lexington,Massachusetts,02420,Residential (3 or fewer dwelling units per building),6/12/2004
2.4,Amherst,Massachusetts,01002,Residential (3 or fewer dwelling units per building),7/15/2004
13.23,Cambridge,Massachusetts,02139,College / University,12/3/2004
2.76,Arlington,Massachusetts,02474,Residential (3 or fewer dwelling units per building),8/11/2004
2.52,Cambridge,Massachusetts,02138,Residential (3 or fewer dwelling units per building),11/16/2004
2.88,Cambridge,Massachusetts,02138,Residential (3 or fewer dwelling units per building),8/12/2004
