capacity_DC,SiteCity,SiteState,SiteZip_5_digit,FacilityType,dateinservice
2,Northampton,Massachusetts,01053,Residential (3 or fewer dwelling units per building),5/12/2007
2.52,Boston,Massachusetts,02132,Residential (3 or fewer dwelling units per building),5/30/2007
6.9,Weston,Massachusetts,02493,Commercial / Office,5/30/2007
3.69,Carlisle,Massachusetts,01741,Residential (3 or fewer dwelling units per building),2/15/2008
7.2,Milton,Massachusetts,02186,Residential (3 or fewer dwelling units per building),6/4/2007
3.6,Deerfield,Massachusetts,01342,Residential (3 or fewer dwelling units per building),5/22/2007
2.16,Falmouth,Massachusetts,02536,Residential (3 or fewer dwelling units per building),8/15/2007
3.42,Lincoln,Massachusetts,01773,Residential (3 or fewer dwelling units per building),5/1/2007
3.15,Templeton,Massachusetts,01468,Residential (3 or fewer dwelling units per building),5/18/2007
3.5,Barnstable,Massachusetts,02648,Residential (3 or fewer dwelling units per building),3/17/2007
3.22,Wendell,Massachusetts,01379,Residential (3 or fewer dwelling units per building),6/15/2006
3.22,Wendell,Massachusetts,01379,Residential (3 or fewer dwelling units per building),9/15/2006
2.16,Provincetown,Massachusetts,02657,Residential (3 or fewer dwelling units per building),11/9/2007
2.34,Falmouth,Massachusetts,01450,Residential (3 or fewer dwelling units per building),NULL
3.6,Montague,Massachusetts,01351,Residential (3 or fewer dwelling units per building),7/2/2007
1.08,West Tisbury,Massachusetts,02575,Residential (3 or fewer dwelling units per building),6/12/2007
1.44,Greenfield,Massachusetts,01301,Residential (3 or fewer dwelling units per building),8/30/2007
3.6,Buckland,Massachusetts,01330,Residential (3 or fewer dwelling units per building),4/17/2007
3.2,Tisbury,Massachusetts,02568,Residential (3 or fewer dwelling units per building),8/21/2007
2.16,Brewster,Massachusetts,02631,Residential (3 or fewer dwelling units per building),6/21/2007
44.04,Cambridge,Massachusetts,02140,Mixed use (commercial & residential),7/18/2007
2.992,Rockland,Massachusetts,02370,Residential (3 or fewer dwelling units per building),8/17/2007
1.5,Falmouth,Massachusetts,02536,Residential (3 or fewer dwelling units per building),9/28/2007
2.992,Hanover,Massachusetts,02339,Residential (3 or fewer dwelling units per building),7/1/2007
3.24,Billerica,Massachusetts,01821,Residential (3 or fewer dwelling units per building),7/29/2007
3.42,Orleans,Massachusetts,02653,Residential (3 or fewer dwelling units per building),6/5/2007
50.4,Boston,Massachusetts,02124,Mixed use (commercial & residential),9/4/2008
4.94,Fitchburg,Massachusetts,01420,Multi-family residential (4 or more dwelling units per building),NULL
3.96,Marion,Massachusetts,02738,School (K-12),10/1/2007
2.04,Lenox,Massachusetts,01240,Municipal / Government / Public,8/15/2007
2.52,Medway,Massachusetts,02053,Residential (3 or fewer dwelling units per building),8/15/2007
3.6,Brookfield,Massachusetts,01585,Residential (3 or fewer dwelling units per building),8/14/2007
67.38,Lawrence,Massachusetts,01839,Commercial / Office,11/1/2008
2.76,Freetown,Massachusetts,02702,Residential (3 or fewer dwelling units per building),7/5/2007
2.16,Dalton,Massachusetts,01226,Residential (3 or fewer dwelling units per building),6/24/2007
100.89,Boston,Massachusetts,02135,Commercial / Office,5/1/2008
45.36,Chelsea,Massachusetts,02184,Multi-family residential (4 or more dwelling units per building),6/6/2008
64.8,Lowell,Massachusetts,01852,Restaurant / Food Service,10/1/2007
66.88,North Andover,Massachusetts,01845,Commercial / Office,6/18/2008
81,Bourne,Massachusetts,02532,College / University,11/16/2007
38.88,Cambridge,Massachusetts,02139,College / University,12/27/2007
3.22,Colrain,Massachusetts,01340,Residential (3 or fewer dwelling units per building),5/1/2007
3.22,Colrain,Massachusetts,01340,Residential (3 or fewer dwelling units per building),5/1/2007
3.22,Colrain,Massachusetts,01340,Residential (3 or fewer dwelling units per building),9/25/2007
2.88,Northampton,Massachusetts,01060,Residential (3 or fewer dwelling units per building),6/8/2007
4.32,Petersham,Massachusetts,01366,Residential (3 or fewer dwelling units per building),2/13/2008
3.24,Longmeadow,Massachusetts,01106,Residential (3 or fewer dwelling units per building),NULL
3.5,Deerfield,Massachusetts,01373,Residential (3 or fewer dwelling units per building),11/14/2007
0.93,Shelburne,Massachusetts,01370,Residential (3 or fewer dwelling units per building),7/23/2007
3.28,Aquinnah,Massachusetts,02535,Residential (3 or fewer dwelling units per building),7/30/2007
8.61,Dedham,Massachusetts,02026,School (K-12),12/17/2007
2.28,Orleans,Massachusetts,02653,Agricultural,9/7/2007
3.69,Newton,Massachusetts,02459,Residential (3 or fewer dwelling units per building),5/6/2009
11.904,Cambridge,Massachusetts,02138,College / University,1/10/2008
2,Framingham,Massachusetts,01701,Municipal / Government / Public,7/8/2008
1.24,Dalton,Massachusetts,01226,Residential (3 or fewer dwelling units per building),7/31/2007
3.72,Gloucester,Massachusetts,01230,Hospital / Health Care,6/27/2007
3.2,Brockton,Massachusetts,02301,Residential (3 or fewer dwelling units per building),7/1/2007
3.2,Brockton,Massachusetts,02301,Residential (3 or fewer dwelling units per building),NULL
4.32,Northampton,Massachusetts,01062,Residential (3 or fewer dwelling units per building),8/21/2007
2.4,Shutesbury,Massachusetts,01072,Residential (3 or fewer dwelling units per building),8/22/2007
3.2,Brockton,Massachusetts,02301,Residential (3 or fewer dwelling units per building),9/25/2007
3.2,Brockton,Massachusetts,02301,Residential (3 or fewer dwelling units per building),9/25/2007
3.2,Brockton,Massachusetts,02301,Residential (3 or fewer dwelling units per building),9/29/2007
3.2,Brockton,Massachusetts,02301,Residential (3 or fewer dwelling units per building),9/25/2007
2.66,Topsfield,Massachusetts,01983,Residential (3 or fewer dwelling units per building),10/3/2007
3.2,Brockton,Massachusetts,02301,Residential (3 or fewer dwelling units per building),NULL
3.2,Brockton,Massachusetts,02301,Residential (3 or fewer dwelling units per building),NULL
3.2,Brockton,Massachusetts,02301,Residential (3 or fewer dwelling units per building),NULL
3.2,Brockton,Massachusetts,02301,Residential (3 or fewer dwelling units per building),NULL
3.2,Brockton,Massachusetts,02301,Residential (3 or fewer dwelling units per building),NULL
3.2,Brockton,Massachusetts,02301,Residential (3 or fewer dwelling units per building),NULL
3.2,Brockton,Massachusetts,02301,Residential (3 or fewer dwelling units per building),NULL
3.2,Brockton,Massachusetts,02301,Residential (3 or fewer dwelling units per building),NULL
3.2,Brockton,Massachusetts,02301,Residential (3 or fewer dwelling units per building),NULL
3.2,Brockton,Massachusetts,02301,Residential (3 or fewer dwelling units per building),NULL
3.2,Brockton,Massachusetts,02301,Residential (3 or fewer dwelling units per building),NULL
3.2,Brockton,Massachusetts,02301,Residential (3 or fewer dwelling units per building),NULL
3.2,Brockton,Massachusetts,02301,Residential (3 or fewer dwelling units per building),NULL
3.2,Brockton,Massachusetts,02301,Residential (3 or fewer dwelling units per building),NULL
3.2,Brockton,Massachusetts,02301,Residential (3 or fewer dwelling units per building),NULL
3.2,Brockton,Massachusetts,02301,Residential (3 or fewer dwelling units per building),NULL
3.2,Brockton,Massachusetts,02301,Residential (3 or fewer dwelling units per building),NULL
3.2,Brockton,Massachusetts,02301,Residential (3 or fewer dwelling units per building),NULL
3.2,Brockton,Massachusetts,02301,Residential (3 or fewer dwelling units per building),NULL
3.68,Barnstable,Massachusetts,02668,Residential (3 or fewer dwelling units per building),8/1/2007
1.6,Fitchburg,Massachusetts,01420,Residential (3 or fewer dwelling units per building),8/15/2007
4,Colrain,Massachusetts,01340,Agricultural,9/4/2007
2.66,Newbury,Massachusetts,01951,Residential (3 or fewer dwelling units per building),9/24/2007
2.04,Gloucester,Massachusetts,01930,Residential (3 or fewer dwelling units per building),11/7/2007
3.5,Amherst,Massachusetts,01002,Residential (3 or fewer dwelling units per building),10/5/2007
9.45,Northampton,Massachusetts,01060,Commercial / Office,9/6/2007
1.122,Arlington,Massachusetts,02476,Residential (3 or fewer dwelling units per building),8/16/2007
4.68,Carver,Massachusetts,02330,Residential (3 or fewer dwelling units per building),8/18/2007
1.98,Nantucket,Massachusetts,02554,Residential (3 or fewer dwelling units per building),10/15/2007
1.9,Acton,Massachusetts,01720,School (K-12),NULL
13.68,Topsfield,Massachusetts,01983,Residential (3 or fewer dwelling units per building),1/3/2008
3.15,Templeton,Massachusetts,01468,Residential (3 or fewer dwelling units per building),9/21/2007
2.4,Acton,Massachusetts,01720,Residential (3 or fewer dwelling units per building),9/11/2007
5.32,Pelham,Massachusetts,01002,Residential (3 or fewer dwelling units per building),1/7/2008
3.44,West Tisbury,Massachusetts,02575,Residential (3 or fewer dwelling units per building),7/29/2007
3.24,Becket,Massachusetts,01223,Residential (3 or fewer dwelling units per building),1/2/2008
3.6,Framingham,Massachusetts,01701,Residential (3 or fewer dwelling units per building),NULL
3.6,Sudbury,Massachusetts,01776,Residential (3 or fewer dwelling units per building),NULL
1.08,Billerica,Massachusetts,01821,Residential (3 or fewer dwelling units per building),7/20/2007
3.45,Sudbury,Massachusetts,01776,Residential (3 or fewer dwelling units per building),9/5/2007
1.8,Lexington,Massachusetts,02420,Residential (3 or fewer dwelling units per building),NULL
9.18,Dennis,Massachusetts,02638,Commercial / Office,9/20/2007
9.18,Dennis,Massachusetts,02638,Commercial / Office,9/10/2007
2.52,Falmouth,Massachusetts,02536,Residential (3 or fewer dwelling units per building),11/12/2007
2.584,Granby,Massachusetts,01033,Residential (3 or fewer dwelling units per building),9/12/2008
1.9,Gardner,Massachusetts,01440,Residential (3 or fewer dwelling units per building),3/18/2008
1.08,Salem,Massachusetts,01970,Mixed use (commercial & residential),8/31/2007
2.8,Aquinnah,Massachusetts,02535,Residential (3 or fewer dwelling units per building),9/28/2007
1.7,Williamstown,Massachusetts,05261,Residential (3 or fewer dwelling units per building),8/13/2007
6.84,Carlisle,Massachusetts,01741,Residential (3 or fewer dwelling units per building),8/28/2007
2.48,Hawley,Massachusetts,01339,Residential (3 or fewer dwelling units per building),6/15/2007
4.2,Hawley,Massachusetts,01339,Residential (3 or fewer dwelling units per building),9/20/2007
3.15,Hawley,Massachusetts,01339,Residential (3 or fewer dwelling units per building),9/20/2007
3.6,Orleans,Massachusetts,02653,Residential (3 or fewer dwelling units per building),7/23/2008
2.31,Gloucester,Massachusetts,01930,Residential (3 or fewer dwelling units per building),2/1/2008
3.04,Acton,Massachusetts,01720,Residential (3 or fewer dwelling units per building),7/31/2008
4.97,Truro,Massachusetts,02666,Commercial / Office,7/31/2008
4.84,Douglas,Massachusetts,01516,Residential (3 or fewer dwelling units per building),11/20/2007
3.6,Haverhill,Massachusetts,01830,Commercial / Office,10/1/2007
3.6,Barnstable,Massachusetts,02632,Residential (3 or fewer dwelling units per building),9/17/2007
4.2,Amherst,Massachusetts,01002,Residential (3 or fewer dwelling units per building),10/22/2007
2.45,New Salem,Massachusetts,01355,Residential (3 or fewer dwelling units per building),10/17/2007
2,Aquinnah,Massachusetts,02535,Residential (3 or fewer dwelling units per building),12/1/2007
4.2,Ashfield,Massachusetts,01330,Residential (3 or fewer dwelling units per building),3/12/2008
5.535,Beverly,Massachusetts,01915,Residential (3 or fewer dwelling units per building),10/9/2007
7.02,Northborough,Massachusetts,01532,Residential (3 or fewer dwelling units per building),2/18/2008
3.42,Belchertown,Massachusetts,01007,Residential (3 or fewer dwelling units per building),1/25/2008
3.96,Middlefield,Massachusetts,01243,Residential (3 or fewer dwelling units per building),10/4/2007
4.68,Sharon,Massachusetts,02067,Residential (3 or fewer dwelling units per building),2/15/2008
32.5,Melrose,Massachusetts,02176,School (K-12),3/23/2009
68.9,Salem,Massachusetts,01970,College / University,NULL
3.6,Falmouth,Massachusetts,02543,Residential (3 or fewer dwelling units per building),1/15/2008
10.56,Lowell,Massachusetts,01854,College / University,NULL
3.74,Whately,Massachusetts,01093,Residential (3 or fewer dwelling units per building),10/5/2007
3.6,Harwich,Massachusetts,02645,Residential (3 or fewer dwelling units per building),12/4/2008
3.42,Hopkinton,Massachusetts,01748,Residential (3 or fewer dwelling units per building),1/5/2008
5.4,Dover,Massachusetts,02030,Residential (3 or fewer dwelling units per building),1/4/2008
3.15,Wellfleet,Massachusetts,02667,Residential (3 or fewer dwelling units per building),8/18/2007
2.618,Arlington,Massachusetts,02476,Residential (3 or fewer dwelling units per building),5/1/2008
3.6,Falmouth,Massachusetts,02536,Residential (3 or fewer dwelling units per building),12/29/2007
10.08,Barnstable,Massachusetts,02635,Restaurant / Food Service,1/16/2008
5.4,Marshfield,Massachusetts,02050,Residential (3 or fewer dwelling units per building),1/23/2008
10.14,Natick,Massachusetts,01760,Agricultural,2/5/2008
3.5,Erving,Massachusetts,01344,Residential (3 or fewer dwelling units per building),6/12/2008
2.976,Ashfield,Massachusetts,01330,Residential (3 or fewer dwelling units per building),1/15/2008
3.64,Hubbardston,Massachusetts,01452,Residential (3 or fewer dwelling units per building),4/21/2008
5,Boxford,Massachusetts,01885,Residential (3 or fewer dwelling units per building),12/5/2007
2.16,Newburyport,Massachusetts,01950,Residential (3 or fewer dwelling units per building),11/7/2007
3.06,Melrose,Massachusetts,02176,Residential (3 or fewer dwelling units per building),10/27/2007
4.8,Chilmark,Massachusetts,02535,Residential (3 or fewer dwelling units per building),8/30/2007
3.6,Wellfleet,Massachusetts,02667,Residential (3 or fewer dwelling units per building),7/30/2008
3.6,Andover,Massachusetts,01810,Residential (3 or fewer dwelling units per building),10/27/2007
9.58,Canton,Massachusetts,02021,Other,9/20/2007
2.7,Peru,Massachusetts,01235,Residential (3 or fewer dwelling units per building),11/30/2007
2.55,Wilbraham,Massachusetts,01095,Residential (3 or fewer dwelling units per building),11/3/2007
2.52,Lowell,Massachusetts,01850,Residential (3 or fewer dwelling units per building),6/9/2008
2.4,West Tisbury,Massachusetts,02575,Residential (3 or fewer dwelling units per building),9/5/2007
0.96,Edgartown,Massachusetts,02539,Residential (3 or fewer dwelling units per building),1/9/2008
5.4,Falmouth,Massachusetts,02536,Residential (3 or fewer dwelling units per building),2/4/2008
3.61,Wareham,Massachusetts,02571,Residential (3 or fewer dwelling units per building),12/3/2007
1.9,Chilmark,Massachusetts,02535,Residential (3 or fewer dwelling units per building),11/26/2007
4.86,Essex,Massachusetts,01929,Agricultural,12/13/2007
3.6,Wareham,Massachusetts,02571,Residential (3 or fewer dwelling units per building),1/30/2009
2.84,Barnstable,Massachusetts,02635,Residential (3 or fewer dwelling units per building),1/13/2008
1.8,Waltham,Massachusetts,02453,Residential (3 or fewer dwelling units per building),1/7/2008
3.04,Lexington,Massachusetts,02421,Residential (3 or fewer dwelling units per building),4/2/2008
1.36,Brookline,Massachusetts,02445,Residential (3 or fewer dwelling units per building),8/14/2008
3.6,Bernardston,Massachusetts,01337,Residential (3 or fewer dwelling units per building),1/4/2008
3.85,Cambridge,Massachusetts,02138,Residential (3 or fewer dwelling units per building),2/21/2008
3.6,Dracut,Massachusetts,01826,Residential (3 or fewer dwelling units per building),1/3/2008
4.8,Greenfield,Massachusetts,01031,Residential (3 or fewer dwelling units per building),12/26/2007
6.08,Chilmark,Massachusetts,02535,Residential (3 or fewer dwelling units per building),12/18/2007
4.56,Leverett,Massachusetts,01054,Residential (3 or fewer dwelling units per building),12/21/2007
2.16,West Brookfield,Massachusetts,01585,Residential (3 or fewer dwelling units per building),11/1/2007
2.7,Williamsburg,Massachusetts,01039,Residential (3 or fewer dwelling units per building),11/27/2007
2.05,Eastham,Massachusetts,02642,Residential (3 or fewer dwelling units per building),5/30/2008
3.51,Plymouth,Massachusetts,02360,Residential (3 or fewer dwelling units per building),3/9/2009
1.2,West Tisbury,Massachusetts,02575,Residential (3 or fewer dwelling units per building),1/30/2008
4.32,Falmouth,Massachusetts,02536,Religious,6/18/2008
5.4,Dover,Massachusetts,02030,Residential (3 or fewer dwelling units per building),4/19/2008
2.7,Williamsburg,Massachusetts,01039,Residential (3 or fewer dwelling units per building),11/27/2007
1.53,Northfield,Massachusetts,01360,Residential (3 or fewer dwelling units per building),3/1/2008
46.8,Newton,Massachusetts,02461,Commercial / Office,8/29/2008
14.38,Northampton,Massachusetts,01060,Retail,6/20/2008
6,Boston,Massachusetts,02122,Commercial / Office,3/27/2004
18.55,Waltham,Massachusetts,02452,Industrial,3/16/2009
100,West Bridgewater,Massachusetts,02379,Commercial / Office,NULL
59,Attleboro,Massachusetts,02703,Commercial / Office,NULL
59,Boston,Massachusetts,02210,Restaurant / Food Service,NULL
44,Oak Bluffs,Massachusetts,02557,Hospital / Health Care,12/17/2009
39,Boston,Massachusetts,02127,Commercial / Office,NULL
66.88,North Andover,Massachusetts,01845,Commercial / Office,8/20/2008
34.09,Barnstable,Massachusetts,02601,Multi-family residential (4 or more dwelling units per building),7/28/2009
34,Lowell,Massachusetts,01852,Municipal / Government / Public,2/2/2010
1.4,Oak Bluffs,Massachusetts,02557,Residential (3 or fewer dwelling units per building),11/14/2006
2.7,Williamsburg,Massachusetts,01039,Residential (3 or fewer dwelling units per building),11/27/2007
2.7,Williamsburg,Massachusetts,01039,Residential (3 or fewer dwelling units per building),12/7/2007
1.8,Cambridge,Massachusetts,02138,Residential (3 or fewer dwelling units per building),1/15/2008
3.99,Lexington,Massachusetts,02421,Residential (3 or fewer dwelling units per building),NULL
3.85,Amherst,Massachusetts,01002,Commercial / Office,3/5/2008
2.07,Falmouth,Massachusetts,02536,Residential (3 or fewer dwelling units per building),3/20/2008
2.4,Halifax,Massachusetts,02388,Residential (3 or fewer dwelling units per building),2/3/2008
4.92,Wenham,Massachusetts,01984,Religious,3/12/2008
1.24,Pelham,Massachusetts,01002,Residential (3 or fewer dwelling units per building),NULL
1.02,Northborough,Massachusetts,01532,Residential (3 or fewer dwelling units per building),12/6/2007
3.6,Newton,Massachusetts,02461,Residential (3 or fewer dwelling units per building),2/21/2008
8.2,Dennis,Massachusetts,02638,Religious,4/7/2008
2.7,Williamsburg,Massachusetts,01096,Residential (3 or fewer dwelling units per building),12/4/2007
2.85,Greenfield,Massachusetts,01301,Residential (3 or fewer dwelling units per building),10/27/2009
82,Springfield,Massachusetts,01102,College / University,7/23/2009
97.28,Gardner,Massachusetts,01440,College / University,9/14/2009
105.3,Worcester,Massachusetts,01602,College / University,7/16/2009
62.2,Lynn,Massachusetts,01901,College / University,7/28/2009
61.4,Chelsea,Massachusetts,02150,Multi-family residential (4 or more dwelling units per building),NULL
2.7,Williamsburg,Massachusetts,01039,Residential (3 or fewer dwelling units per building),1/15/2008
2.88,Worcester,Massachusetts,01610,Residential (3 or fewer dwelling units per building),1/1/2008
2.88,Worcester,Massachusetts,01610,Residential (3 or fewer dwelling units per building),1/1/2008
2.88,Worcester,Massachusetts,01610,Residential (3 or fewer dwelling units per building),1/1/2008
2.88,Worcester,Massachusetts,01610,Residential (3 or fewer dwelling units per building),1/1/2008
2.88,Worcester,Massachusetts,01610,Residential (3 or fewer dwelling units per building),1/1/2008
2.88,Worcester,Massachusetts,01610,Residential (3 or fewer dwelling units per building),1/1/2008
2.88,Worcester,Massachusetts,01610,Residential (3 or fewer dwelling units per building),1/1/2008
2.88,Worcester,Massachusetts,01610,Residential (3 or fewer dwelling units per building),1/1/2008
2.88,Worcester,Massachusetts,01610,Residential (3 or fewer dwelling units per building),1/1/2008
2.88,Worcester,Massachusetts,01610,Residential (3 or fewer dwelling units per building),1/1/2008
3.69,Maynard,Massachusetts,01754,Residential (3 or fewer dwelling units per building),5/20/2008
0.9,Leyden,Massachusetts,01337,Residential (3 or fewer dwelling units per building),8/21/2006
10.26,Fall River,Massachusetts,02720,College / University,3/21/2008
4.96,Alford,Massachusetts,01230,Residential (3 or fewer dwelling units per building),3/31/2008
9.975,Whately,Massachusetts,01093,Residential (3 or fewer dwelling units per building),3/6/2008
2.88,Orleans,Massachusetts,02662,Residential (3 or fewer dwelling units per building),1/21/2008
2.28,Winthrop,Massachusetts,02152,Residential (3 or fewer dwelling units per building),4/29/2008
10.5,Yarmouth,Massachusetts,02664,Municipal / Government / Public,3/18/2008
3.15,Easthampton,Massachusetts,01027,Residential (3 or fewer dwelling units per building),5/14/2008
3.6,Barnstable,Massachusetts,02635,Residential (3 or fewer dwelling units per building),4/1/2008
2.28,Truro,Massachusetts,02666,Residential (3 or fewer dwelling units per building),1/13/2009
9.12,Hamilton,Massachusetts,01982,Residential (3 or fewer dwelling units per building),3/14/2008
2.244,Westwood,Massachusetts,02090,Residential (3 or fewer dwelling units per building),6/3/2008
2.28,Swansea,Massachusetts,02777,See Power Clerk,3/11/2008
7.98,Haverhill,Massachusetts,01830,Residential (3 or fewer dwelling units per building),2/14/2008
2.8,Ashfield,Massachusetts,01330,Residential (3 or fewer dwelling units per building),4/25/2008
2.28,Springfield,Massachusetts,01129,Residential (3 or fewer dwelling units per building),3/31/2008
3.74,Cambridge,Massachusetts,02138,Residential (3 or fewer dwelling units per building),5/1/2008
5.04,Hopedale,Massachusetts,01747,See Power Clerk,4/23/2008
3.8,Acton,Massachusetts,01729,Residential (3 or fewer dwelling units per building),4/22/2008
3.5,Barnstable,Massachusetts,02630,Other,2/15/2008
3.675,Whately,Massachusetts,01093,See Power Clerk,6/26/2008
2.52,Boxford,Massachusetts,01885,Residential (3 or fewer dwelling units per building),4/17/2008
1.75,Bedford,Massachusetts,01730,Residential (3 or fewer dwelling units per building),3/17/2008
2.52,Barnstable,Massachusetts,02668,College / University,11/1/2007
2.66,Cummington,Massachusetts,01026,Residential (3 or fewer dwelling units per building),3/12/2008
5.824,Waltham,Massachusetts,02453,Commercial / Office,7/31/2008
3.24,Savoy,Massachusetts,01256,Residential (3 or fewer dwelling units per building),7/11/2008
18.04,Sherborn,Massachusetts,01770,Agricultural,8/11/2008
4.92,Sherborn,Massachusetts,01770,Agricultural,6/19/2008
3.69,Sherborn,Massachusetts,01770,Agricultural,6/19/2008
7.56,Sherborn,Massachusetts,01770,Agricultural,6/19/2008
4.1,Sherborn,Massachusetts,01770,Agricultural,6/19/2008
4.68,Westborough,Massachusetts,01581,Residential (3 or fewer dwelling units per building),4/15/2008
2.16,Needham,Massachusetts,02492,Residential (3 or fewer dwelling units per building),2/26/2008
3.6,Wellfleet,Massachusetts,02667,Residential (3 or fewer dwelling units per building),4/18/2008
3.96,Worthington,Massachusetts,01018,Residential (3 or fewer dwelling units per building),5/23/2008
3.6,Barnstable,Massachusetts,02635,Residential (3 or fewer dwelling units per building),6/25/2008
1.62,Warwick,Massachusetts,01378,Residential (3 or fewer dwelling units per building),3/21/2008
4.32,Townsend,Massachusetts,01469,Residential (3 or fewer dwelling units per building),3/14/2008
7.56,Marlborough,Massachusetts,01752,Commercial / Office,1/1/2008
1.8,Arlington,Massachusetts,02474,Residential (3 or fewer dwelling units per building),7/18/2008
16.32,Leominster,Massachusetts,01453,Commercial / Office,6/9/2008
3.5,Northampton,Massachusetts,01060,Residential (3 or fewer dwelling units per building),NULL
3.5,Northampton,Massachusetts,01060,Residential (3 or fewer dwelling units per building),NULL
2.45,Northampton,Massachusetts,01060,Residential (3 or fewer dwelling units per building),NULL
9.8,Northampton,Massachusetts,01060,Multi-family residential (4 or more dwelling units per building),NULL
8.4,Northampton,Massachusetts,01060,Multi-family residential (4 or more dwelling units per building),NULL
6.3,Northampton,Massachusetts,01060,Residential (3 or fewer dwelling units per building),NULL
6.3,Northampton,Massachusetts,01060,Residential (3 or fewer dwelling units per building),NULL
3.5,Northampton,Massachusetts,01060,Residential (3 or fewer dwelling units per building),NULL
3.96,Northborough,Massachusetts,01532,Residential (3 or fewer dwelling units per building),5/22/2008
4.5,Belchertown,Massachusetts,01007,Residential (3 or fewer dwelling units per building),8/22/2008
2.88,Sheffield,Massachusetts,01257,Commercial / Office,5/1/2008
3.42,Leverett,Massachusetts,01054,Residential (3 or fewer dwelling units per building),9/10/2008
3.6,Shelburne,Massachusetts,01370,Residential (3 or fewer dwelling units per building),4/16/2008
3.24,Westport,Massachusetts,02790,Residential (3 or fewer dwelling units per building),7/23/2008
12.73,Lexington,Massachusetts,02421,Residential (3 or fewer dwelling units per building),5/19/2008
1.08,Northborough,Massachusetts,01532,Residential (3 or fewer dwelling units per building),6/12/2008
4.68,Lexington,Massachusetts,02421,Residential (3 or fewer dwelling units per building),7/2/2008
2.16,Granville,Massachusetts,01034,See Power Clerk,8/20/2008
6.45,Chilmark,Massachusetts,02535,Residential (3 or fewer dwelling units per building),2/13/2008
3.8,Rockport,Massachusetts,01966,Residential (3 or fewer dwelling units per building),1/16/2009
3.8,Chelmsford,Massachusetts,01824,Residential (3 or fewer dwelling units per building),6/9/2008
2.7,Williamsburg,Massachusetts,01039,Residential (3 or fewer dwelling units per building),12/30/2007
2.7,Williamsburg,Massachusetts,01039,Residential (3 or fewer dwelling units per building),12/30/2007
2.7,Williamsburg,Massachusetts,01039,Residential (3 or fewer dwelling units per building),12/30/2007
3.6,Townsend,Massachusetts,01469,Residential (3 or fewer dwelling units per building),3/12/2008
10.08,Winchendon,Massachusetts,01475,Retail,8/1/2008
4.9,Northampton,Massachusetts,01060,Residential (3 or fewer dwelling units per building),5/1/2008
5.04,Sudbury,Massachusetts,01776,Residential (3 or fewer dwelling units per building),5/16/2008
3.8,New Bedford,Massachusetts,02740,See Power Clerk,5/30/2008
2.88,Nantucket,Massachusetts,02554,Residential (3 or fewer dwelling units per building),5/20/2008
1.5,Beverly,Massachusetts,01965,Residential (3 or fewer dwelling units per building),6/24/2008
2.88,Wrentham,Massachusetts,02093,Residential (3 or fewer dwelling units per building),5/28/2008
6.27,Tewksbury,Massachusetts,01876,Residential (3 or fewer dwelling units per building),4/8/2008
2.16,Falmouth,Massachusetts,02536,Residential (3 or fewer dwelling units per building),5/15/2008
3.6,Ashfield,Massachusetts,01330,Residential (3 or fewer dwelling units per building),5/23/2008
17.82,Framingham,Massachusetts,01702,Industrial,8/1/2008
6.4,Egremont,Massachusetts,01230,Residential (3 or fewer dwelling units per building),1/6/2009
5.04,Orleans,Massachusetts,02653,Residential (3 or fewer dwelling units per building),1/1/2009
3.99,Northampton,Massachusetts,01060,Residential (3 or fewer dwelling units per building),2/2/2009
3.34,Haverhill,Massachusetts,01835,Residential (3 or fewer dwelling units per building),3/9/2008
2.28,Greenfield,Massachusetts,01301,See Power Clerk,7/16/2008
3.6,Southbridge,Massachusetts,01550,Residential (3 or fewer dwelling units per building),7/11/2008
4.375,Westhampton,Massachusetts,01027,See Power Clerk,6/10/2008
3.6,Barnstable,Massachusetts,02648,Residential (3 or fewer dwelling units per building),4/24/2008
9.9,Waltham,Massachusetts,02454,Industrial,7/11/2008
3.6,Townsend,Massachusetts,01469,Residential (3 or fewer dwelling units per building),NULL
3.6,Townsend,Massachusetts,01469,Residential (3 or fewer dwelling units per building),NULL
5.488,Townsend,Massachusetts,01469,Residential (3 or fewer dwelling units per building),7/29/2010
3.6,Townsend,Massachusetts,01469,Residential (3 or fewer dwelling units per building),NULL
3.6,Townsend,Massachusetts,01469,Residential (3 or fewer dwelling units per building),2/27/2010
3.6,Townsend,Massachusetts,01469,Residential (3 or fewer dwelling units per building),3/1/2010
3.6,Townsend,Massachusetts,01469,Residential (3 or fewer dwelling units per building),9/5/2009
5.4,East Longmeadow,Massachusetts,01028,Residential (3 or fewer dwelling units per building),9/9/2008
9.75,Northbridge,Massachusetts,01534,See Power Clerk,3/2/2009
2.16,Maynard,Massachusetts,01754,Residential (3 or fewer dwelling units per building),8/29/2008
26.88,Williamstown,Massachusetts,01267,College / University,8/18/2008
2.88,Wellfleet,Massachusetts,02663,Residential (3 or fewer dwelling units per building),7/1/2008
5.7,Townsend,Massachusetts,01469,Residential (3 or fewer dwelling units per building),7/15/2008
3.6,Townsend,Massachusetts,01469,Residential (3 or fewer dwelling units per building),1/23/2009
3.6,Townsend,Massachusetts,01469,Residential (3 or fewer dwelling units per building),9/16/2008
3.6,Townsend,Massachusetts,01469,Residential (3 or fewer dwelling units per building),NULL
3.6,Townsend,Massachusetts,01469,Residential (3 or fewer dwelling units per building),NULL
